Carcass Drop,Habitat,Flood,Season,Site,site_R,Date,Days since laid,Event,Number Scavenging,Number in Frame,Max Group Size Till Scavenging,Time_till_scav_value_mins
3SD,OP,AF,Cool,6,3SD6,9/09/2019,88,1303, S.0, R.1,1,0.016666667
3SD,OP,AF,Cool,6,3SD6,11/09/2019,90,1304, S.0, R.1,1,0.383333333
3SD,OP,AF,Cool,6,3SD6,17/09/2019,96,1305, S.1, R.4,4,0.133333333
3SD,CL,AF,Cool,7,3SD7,15/06/2019,2,1306, S.1, R.1,1,0.116666667
3SD,CL,AF,Cool,7,3SD7,15/06/2019,2,1307, S.1, R.1,1,0.9
3SD,CL,AF,Cool,7,3SD7,15/06/2019,2,1308, S.1, R.1,1,0.066666667
3SD,CL,AF,Cool,7,3SD7,15/06/2019,2,1309, S.1, R.1,1,0.066666667
3SD,CL,AF,Cool,7,3SD7,15/06/2019,2,1310, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1311, S.0, R.1,1,0.133333333
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1312, S.1, R.2,2,1.3
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1313, S.1, R.2,2,0.033333333
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1314, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1315, S.0, R.1,1,0.133333333
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1316, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1317, S.0, R.1,1,0.133333333
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1318, S.1, R.2,2,0.083333333
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1319, S.0, R.1,1,0.05
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1320, S.1, R.1,1,0.05
3SD,CL,AF,Cool,7,3SD7,16/06/2019,3,1321, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,7,3SD7,19/06/2019,6,1322, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,7,3SD7,20/06/2019,7,1323, S.1, R.1,1,0.15
3SD,CL,AF,Cool,7,3SD7,20/06/2019,7,1324, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,20/06/2019,7,1325, S.0, R.1,1,0.05
3SD,CL,AF,Cool,7,3SD7,20/06/2019,7,1326, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,20/06/2019,7,1327, S.1, R.1,1,0.05
3SD,CL,AF,Cool,7,3SD7,20/06/2019,7,1328, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,21/06/2019,8,1329, S.1, R.2,2,0.516666667
3SD,CL,AF,Cool,7,3SD7,22/06/2019,9,1330, S.0, R.1,1,0.133333333
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1331, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1332, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1333, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1334, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1335, S.1, R.1,1,0.1
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1336, S.0, R.1,1,0.133333333
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1337, S.1, R.2,2,0.133333333
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1338, S.0, R.1,1,0.116666667
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1339, S.1, R.2,2,0.033333333
3SD,CL,AF,Cool,7,3SD7,23/06/2019,10,1340, S.1, R.1,1,0.1
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1341, S.1, R.2,2,0.033333333
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1342, S.1, R.2,2,1.4
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1343, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1344, S.1, R.1,1,0.066666667
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1345,1,2,2,0
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1346, S.2, R.4,4,0.433333333
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1347, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1348, S.1, R.3,3,0.016666667
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1349, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,24/06/2019,11,1350, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1351, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1352, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1353, S.1, R.2,2,0.05
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1354, S.2, R.3,3,9.166666667
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1355, S.1, R.1,1,0.066666667
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1356, S.1, R.3,3,0.116666667
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1357, S.1, R.2,4,6.216666667
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1358, S.1, R.4,4,0.016666667
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1359, S.0, R.1,1,0.066666667
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1360, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1361, S.1, R.1,1,0.066666667
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1362, S.2,R.3,3,0
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1363, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1364, S.0, R.1,1,0.15
3SD,CL,AF,Cool,7,3SD7,25/06/2019,12,1365, S.1, R.2,2,0.066666667
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1366, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1367, S.1, R.3,3,5.366666667
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1368, S.1, R.3,3,0
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1369, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1370, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1371, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1372, S.1, R.2,2,0.133333333
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1373, S.1, R.2,2,0.95
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1374, S.1, R.1,1,6.066666667
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1375,1,1,1,0.066666667
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1376, S.1, R.1,2,2.083333333
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1377, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1378, S.2, R.2,2,6.266666667
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1379, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1380, S.1, R.2,2,0.1
3SD,CL,AF,Cool,7,3SD7,26/06/2019,13,1381, S.1, R.1,1,0.066666667
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1382, S.1, R.1,1,0.05
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1383, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1384, S.1, R.1,1,2.05
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1385, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1386, S.1, R.1,1,0.116666667
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1387, S.1, R.1,1,0.116666667
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1388, S.1, R.1,2,0.416666667
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1389, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1390, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1391, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1392, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1393, S.1, R.1,1,0.216666667
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1394, S.1, R.1,1,0.066666667
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1395, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,27/06/2019,14,1396, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1397, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1398, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1399, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1400, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1401, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1402, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1403, S.1, R.2,2,0.1
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1404, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1405, S.2, R.2,2,0.016666667
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1406, S.1, R.2,2,0.416666667
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1407, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,28/06/2019,15,1408, S.1, R.1,1,0.083333333
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1409, S.1, R.1,1,0.183333333
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1410, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1411, S.1, R.1,1,0.05
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1412, S.1, R.1,1,0.083333333
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1413, S.1, R.2,2,0.033333333
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1414, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1415, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1416, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1417, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1418, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1419, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,7,3SD7,29/06/2019,16,1420, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1421, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1422, S.1, R.3,3,0
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1423, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1424, S.2, R.2,2,0.016666667
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1425, S.0, R.1,1,2.416666667
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1426, S.2, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1427, S.1, R.2,2,0.083333333
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1428, S.1, R.1,1,0
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1429, S.1, R.2,2,0.05
3SD,CL,AF,Cool,7,3SD7,30/06/2019,17,1430, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,1/07/2019,18,1431, S.1, R.2,2,0.133333333
3SD,CL,AF,Cool,7,3SD7,2/07/2019,19,1432, S.1, R.1,1,0.116666667
3SD,CL,AF,Cool,7,3SD7,3/07/2019,20,1433, S.1, R.1,2,8.3
3SD,CL,AF,Cool,7,3SD7,3/07/2019,20,1434, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,4/07/2019,21,1435, S.1, R.1,1,0.083333333
3SD,CL,AF,Cool,7,3SD7,5/07/2019,22,1436, S.1, R.1,1,0.133333333
3SD,CL,AF,Cool,7,3SD7,5/07/2019,22,1437, S.1, R.1,1,0.316666667
3SD,CL,AF,Cool,7,3SD7,9/07/2019,26,1438,1,2,2,0
3SD,CL,AF,Cool,7,3SD7,11/07/2019,28,1439, S.1, R.2,2,0.216666667
3SD,CL,AF,Cool,7,3SD7,12/07/2019,29,1440, S.1, R.1,1,0.1
3SD,CL,AF,Cool,7,3SD7,13/07/2019,30,1441, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,13/07/2019,30,1442, S.1, R.2,2,0.033333333
3SD,CL,AF,Cool,7,3SD7,14/07/2019,31,1443, S.1, R.1,1,0.1
3SD,CL,AF,Cool,7,3SD7,14/07/2019,31,1444, S.1, R.2,2,0.45
3SD,CL,AF,Cool,7,3SD7,16/07/2019,33,1445, S.0, R.1,1,0.116666667
3SD,CL,AF,Cool,7,3SD7,16/07/2019,33,1446, S.0, R.1,1,0.05
3SD,CL,AF,Cool,7,3SD7,3/08/2019,51,1447, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,7,3SD7,5/08/2019,53,1448, S.1, R.1,1,0.083333333
3SD,CL,AF,Cool,7,3SD7,8/08/2019,56,1449, S.1, R.2,2,0
3SD,CL,AF,Cool,7,3SD7,6/09/2019,85,1450, S.0, R.1,1,2.183333333
3SD,CL,AF,Cool,7,3SD7,8/09/2019,87,1451, S.0, R.1,1,0.133333333
3SD,CL,AF,Cool,7,3SD7,9/09/2019,88,1452, S.0, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,15/06/2019,2,1453, S.1, R.3,3,4.016666667
3SD,OP,AF,Cool,8,3SD8,15/06/2019,2,1454, S.0, R.1,1,0.083333333
3SD,OP,AF,Cool,8,3SD8,15/06/2019,2,1455, S.1, R.3,3,0
3SD,OP,AF,Cool,8,3SD8,15/06/2019,2,1456, S.1, R.3,3,0
3SD,OP,AF,Cool,8,3SD8,16/06/2019,3,1457, S.1, R.2,2,0.25
3SD,OP,AF,Cool,8,3SD8,16/06/2019,3,1458,1,2,2,2.05
3SD,OP,AF,Cool,8,3SD8,17/06/2019,4,1459, S.1, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,17/06/2019,4,1460, S.1, R.2,2,0.033333333
3SD,OP,AF,Cool,8,3SD8,18/06/2019,5,1461, S.0, R.1,1,0.116666667
3SD,OP,AF,Cool,8,3SD8,18/06/2019,5,1462, S.1, R.2,2,0.033333333
3SD,OP,AF,Cool,8,3SD8,19/06/2019,6,1463, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,20/06/2019,7,1464, S.1, R.1,1,0.05
3SD,OP,AF,Cool,8,3SD8,20/06/2019,7,1465, S.1, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,20/06/2019,7,1466, S.1, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,21/06/2019,8,1467, S.1, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,22/06/2019,9,1468, S.2, R.2,2,6.55
3SD,OP,AF,Cool,8,3SD8,23/06/2019,10,1469, S.1, R.2,2,0.033333333
3SD,OP,AF,Cool,8,3SD8,23/06/2019,10,1470, S.1, R.2,2,0.033333333
3SD,OP,AF,Cool,8,3SD8,23/06/2019,10,1471, S.1, R.2,2,1.016666667
3SD,OP,AF,Cool,8,3SD8,24/06/2019,11,1472, S.1, R.3,3,0
3SD,OP,AF,Cool,8,3SD8,24/06/2019,11,1473, S.1, R.1,1,0.05
3SD,OP,AF,Cool,8,3SD8,24/06/2019,11,1474, S.1, R.3,3,0
3SD,OP,AF,Cool,8,3SD8,24/06/2019,11,1475, S.1, R.1,1,0.05
3SD,OP,AF,Cool,8,3SD8,25/06/2019,12,1476, S.1, R.1,2,0.1
3SD,OP,AF,Cool,8,3SD8,25/06/2019,12,1477,1,2,2,0.033333333
3SD,OP,AF,Cool,8,3SD8,25/06/2019,12,1478, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,26/06/2019,13,1479, S.1, R.2,2,0.033333333
3SD,OP,AF,Cool,8,3SD8,26/06/2019,13,1480, S.0, R.1,1,0.083333333
3SD,OP,AF,Cool,8,3SD8,27/06/2019,14,1481, S.1, R.1,1,0.05
3SD,OP,AF,Cool,8,3SD8,27/06/2019,14,1482, S.1, R.2,2,0.083333333
3SD,OP,AF,Cool,8,3SD8,28/06/2019,15,1483, S.1, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,28/06/2019,15,1484, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,29/06/2019,16,1485, S.1, R.1,1,0.033333333
3SD,OP,AF,Cool,8,3SD8,29/06/2019,16,1486, S.1, R.1,1,0.066666667
3SD,OP,AF,Cool,8,3SD8,29/06/2019,16,1487, S.1, R.2,2,0.033333333
3SD,OP,AF,Cool,8,3SD8,29/06/2019,16,1488, S.1, R.1,1,0.1
3SD,OP,AF,Cool,8,3SD8,30/06/2019,17,1489, S.1, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,30/06/2019,17,1490, S.1, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,30/06/2019,17,1491, S.1, R.1,1,0.033333333
3SD,OP,AF,Cool,8,3SD8,1/07/2019,18,1492, S.1, R.1,1,1.55
3SD,OP,AF,Cool,8,3SD8,1/07/2019,18,1493, S.1, R.1,1,0.1
3SD,OP,AF,Cool,8,3SD8,2/07/2019,19,1494, S.1, R.1,1,0.033333333
3SD,OP,AF,Cool,8,3SD8,2/07/2019,19,1495, S.2, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,2/07/2019,19,1496, S.1, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,3/07/2019,20,1497, S.1, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,3/07/2019,20,1498, S.1, R.1,1,0
3SD,OP,AF,Cool,8,3SD8,3/07/2019,20,1499, S.1, R.2,2,0.033333333
3SD,OP,AF,Cool,8,3SD8,3/07/2019,20,1500, S.1, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,4/07/2019,21,1501, S.0, R.1,1,7.783333333
3SD,OP,AF,Cool,8,3SD8,4/07/2019,21,1502, S.1, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,4/07/2019,21,1503, S.1, R.1,1,0.45
3SD,OP,AF,Cool,8,3SD8,4/07/2019,21,1504, S.0, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,5/07/2019,22,1505, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,5/07/2019,22,1506, S.2, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,5/07/2019,22,1507, S.1, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,5/07/2019,22,1508, S.1, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,6/07/2019,23,1509, S.2, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,6/07/2019,23,1510, S.2, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,6/07/2019,23,1511, S.1, R.1,1,0.066666667
3SD,OP,AF,Cool,8,3SD8,6/07/2019,23,1512, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,6/07/2019,23,1513, S.0, R.1,1,0
3SD,OP,AF,Cool,8,3SD8,6/07/2019,23,1514, S.1, R.1,1,0.05
3SD,OP,AF,Cool,8,3SD8,6/07/2019,23,1515, S.0, R.1,1,1.15
3SD,OP,AF,Cool,8,3SD8,7/07/2019,24,1516, S.1, R.1,1,0.116666667
3SD,OP,AF,Cool,8,3SD8,7/07/2019,24,1517, S.1, R.1,1,0.033333333
3SD,OP,AF,Cool,8,3SD8,7/07/2019,24,1518, S.1, R.5,5,1.233333333
3SD,OP,AF,Cool,8,3SD8,7/07/2019,24,1519, S.3, R.5,5,0
3SD,OP,AF,Cool,8,3SD8,11/07/2019,28,1520, S.2, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,11/07/2019,28,1521, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,16/07/2019,33,1522, S.2, R.2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,17/07/2019,34,1523, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,17/07/2019,34,1524, S.1, R.1,1,0.083333333
3SD,OP,AF,Cool,8,3SD8,20/07/2019,37,1525, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,20/07/2019,37,1526, S.1, R.2,2,0.033333333
3SD,OP,AF,Cool,8,3SD8,21/07/2019,38,1527, S.2, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,21/07/2019,38,1528, S.2, R.2,2,0.066666667
3SD,OP,AF,Cool,8,3SD8,26/07/2019,43,1529, S.1, R.1,1,0.116666667
3SD,OP,AF,Cool,8,3SD8,29/07/2019,46,1530, S.1, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,29/07/2019,46,1531, S.1, R.1,1,0.083333333
3SD,OP,AF,Cool,8,3SD8,29/07/2019,46,1532, S.0, R.1,1,3.366666667
3SD,OP,AF,Cool,8,3SD8,11/08/2019,59,1533, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,12/08/2019,60,1534, S.1, R.1,1,0.033333333
3SD,OP,AF,Cool,8,3SD8,12/08/2019,60,1535, S.2, R.3,3,0
3SD,OP,AF,Cool,8,3SD8,13/08/2019,61,1536,1,1,1,0
3SD,OP,AF,Cool,8,3SD8,13/08/2019,61,1537, S.1, R.1,1,0.016666667
3SD,OP,AF,Cool,8,3SD8,14/08/2019,62,1538, S.1, R.1,1,0.133333333
3SD,OP,AF,Cool,8,3SD8,14/08/2019,62,1539,2,2,2,0.016666667
3SD,OP,AF,Cool,8,3SD8,1/09/2019,80,1540, S.1, R.3,3,0.133333333
3SD,OP,AF,Cool,8,3SD8,2/09/2019,81,1541, S.1, R.1,1,0.05
3SD,OP,AF,Cool,8,3SD8,2/09/2019,81,1542, S.1, R.2,2,0.716666667
3SD,OP,AF,Cool,8,3SD8,2/09/2019,81,1543, S.2, R.2,2,0.05
3SD,OP,AF,Cool,8,3SD8,2/09/2019,81,1544, S.0, R.1,1,0
3SD,OP,AF,Cool,8,3SD8,3/09/2019,82,1545, S.1, R.2,2,0
3SD,OP,AF,Cool,8,3SD8,17/09/2019,96,1546, S.0, R.1,1,0.1
3SD,CL,AF,Cool,9,3SD9,13/06/2019,0,1547, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,9,3SD9,14/06/2019,1,1548, S.1, R.2,2,0
3SD,CL,AF,Cool,9,3SD9,14/06/2019,1,1549, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,9,3SD9,14/06/2019,1,1550, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,9,3SD9,14/06/2019,1,1551, S.0, R.1,1,0.133333333
3SD,CL,AF,Cool,9,3SD9,14/06/2019,1,1552, S.2, R.2,2,0
3SD,CL,AF,Cool,9,3SD9,14/06/2019,1,1553, S.1, R.2,2,0.05
3SD,CL,AF,Cool,9,3SD9,14/06/2019,1,1554, S.0, R.1,1,0
3SD,CL,AF,Cool,9,3SD9,15/06/2019,2,1555, S.0, R.1,1,0.15
3SD,CL,AF,Cool,9,3SD9,15/06/2019,2,1556, S.1, R.1,1,0.083333333
3SD,CL,AF,Cool,9,3SD9,15/06/2019,2,1557, S.1, R.2,2,0
3SD,CL,AF,Cool,9,3SD9,15/06/2019,2,1558, S.1, R.2,2,0.583333333
3SD,CL,AF,Cool,9,3SD9,16/06/2019,3,1559, S.1, R.1,1,0.1
3SD,CL,AF,Cool,9,3SD9,16/06/2019,3,1560, S.0, R.1,1,0.133333333
3SD,CL,AF,Cool,9,3SD9,16/06/2019,3,1561, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,9,3SD9,17/06/2019,4,1562, S.1, R.2,2,0
3SD,CL,AF,Cool,9,3SD9,17/06/2019,4,1563, S.1, R.2,2,0
3SD,CL,AF,Cool,9,3SD9,17/06/2019,4,1564, S.1, R.1,1,0.05
3SD,CL,AF,Cool,9,3SD9,17/06/2019,4,1565, S.1, R.1,1,0
3SD,CL,AF,Cool,9,3SD9,17/06/2019,4,1566, S.1, R.1,1,0.1
3SD,CL,AF,Cool,9,3SD9,18/06/2019,5,1567, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,9,3SD9,18/06/2019,5,1568, S.1, R.2,2,0.05
3SD,CL,AF,Cool,9,3SD9,18/06/2019,5,1569, S.1, R.2,2,0.033333333
3SD,CL,AF,Cool,9,3SD9,19/06/2019,6,1570, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,9,3SD9,19/06/2019,6,1571, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,9,3SD9,19/06/2019,6,1572, S.1, R.2,2,0
3SD,CL,AF,Cool,9,3SD9,19/06/2019,6,1573, S.0, R.1,1,0
3SD,CL,AF,Cool,9,3SD9,19/06/2019,6,1574, S.1, R.2,2,0.066666667
3SD,CL,AF,Cool,9,3SD9,19/06/2019,6,1575, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,9,3SD9,19/06/2019,6,1576, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,9,3SD9,19/06/2019,6,1577,1,1,1,0.016666667
3SD,CL,AF,Cool,9,3SD9,20/06/2019,7,1578, S.1, R.1,1,0
3SD,CL,AF,Cool,9,3SD9,20/06/2019,7,1579, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,9,3SD9,20/06/2019,7,1580, S.2, R.2,2,0
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1581, S.1, R.1,1,0
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1582, S.1, R.1,1,0
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1583, S.1, R.1,1,0
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1584, S.1, R.2,2,0.016666667
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1585, S.1, R.3,3,0.083333333
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1586, S.1, R.1,1,0
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1587, S.1, R.1,1,3.75
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1588, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1589, S.0, R.1,1,0.116666667
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1590, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1591, S.1, R.1,1,0.033333333
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1592, S.0, R.1,1,0
3SD,CL,AF,Cool,9,3SD9,21/06/2019,8,1593, S.1, R.2,2,0
3SD,CL,AF,Cool,9,3SD9,22/06/2019,9,1594, S.1, R.1,1,0.016666667
3SD,CL,AF,Cool,9,3SD9,22/06/2019,9,1595, S.1, R.2,2,0
