Carcass_Drop,Site,site_r,Habitat,Season,Flood,Species,Group_size,temp,arrival_time,arrival_time_mins,log_mins,log_arrival_time
3SD,14,3SD14,Closed,Winter,After Flood,Corvid,1,20.15,21,1267,7.144933219,1.721816668
3SD,15,3SD15,Closed,Winter,After Flood,Corvid,2,18.28,46,2744,7.917402769,2.049264593
3SD,16,3SD16,Open,Winter,After Flood,Corvid,1,20.15,21,1268,7.145787443,1.722167727
3SD,17,3SD17,Closed,Winter,After Flood,Corvid,2,17.03,70,4210,8.345439596,2.238205307
3SD,18,3SD18,Open,Winter,After Flood,Corvid,1,20.15,16,973,6.881582405,1.614890448
3SD,19,3SD19,Open,Winter,After Flood,Corvid,1,17.03,66,3933,8.277517908,2.207914382
3SD,20,3SD20,Open,Winter,After Flood,Corvid,1,20.15,17,1018,6.926544321,1.632957924
4SD,1,4SD1,Open,Spring,After Flood,Corvid,2,17.01,15,887,6.789084349,1.577973413
4SD,2,4SD2,Closed,Spring,After Flood,Little Crow,4,17.01,17,1038,6.945628931,1.64065076
4SD,3,4SD3,Closed,Spring,After Flood,Corvid,2,17.01,29,1768,7.477915281,1.860605875
4SD,4,4SD4,Open,Spring,After Flood,Corvid,3,21.43,5,288,5.666772649,1.160419132
4SD,5,4SD5,Closed,Spring,After Flood,Corvid,2,17.01,29,1757,7.471865713,1.858050834
4SD,6,4SD6,Closed,Spring,After Flood,Corvid,2,21.43,3,171,5.146622003,0.988594167
4SD,7,4SD7,Open,Spring,After Flood,Corvid,1,17.01,23,1356,7.212859697,1.749814743
4SD,8,4SD8,Open,Spring,After Flood,Corvid,1,17.01,19,1137,7.036822556,1.677603549
4SD,9,4SD9,Closed,Spring,After Flood,Corvid,2,21.43,3,158,5.070161273,0.964616634
4SD,10,4SD10,Closed,Spring,After Flood,Little Crow,2,17.01,21,1253,7.134465794,1.71751704
4SD,11,4SD11,Closed,Spring,After Flood,LittleCrow,2,16.66,44,2624,7.872664732,2.029798358
4SD,12,4SD12,Open,Spring,After Flood,Corvid,1,21.43,0,15,2.751535313,0.401733643
4SD,13,4SD13,Closed,Spring,After Flood,Corvid,1,17.01,20,1180,7.07383453,1.692691181
4SD,14,4SD14,Open,Spring,After Flood,Corvid,2,16.66,41,2451,7.804761249,3.734191354
4SD,15,4SD15,Open,Spring,After Flood,Corvid,2,17.01,19,1128,7.028688902,2.985303078
4SD,16,4SD16,Closed,Spring,After Flood,Corvid,6,17.01,19,1140,7.039265881,2.995357203
4SD,17,4SD17,Open,Spring,After Flood,Corvid,2,17.01,16,977,6.885441501,2.849678356
4SD,18,4SD18,Closed,Spring,After Flood,Corvid,2,16.66,43,2599,7.863138511,3.791235461
4SD,19,4SD19,Open,Spring,After Flood,Corvid,2,17.01,16,948,6.855039921,2.821031604
4SD,20,4SD20,Open,Spring,After Flood,Corvid,2,17.01,27,1594,7.374357296,3.316345288
