Carcass Drop,Site,Site_number,Habitat,Flood,Season,Species,Group Size,Date detected (by predator),Time detected,Date carcass laid,Time carcass laid,Total until dected,Discovery_time_hours,discovery_time_mins,arrival_time_mins
4SD,7,4SD7,Open,After Flood,Warm,Corvid,1,25/09/2019,10:00:46,24/09/2019,11:25:00 AM,22:35:46,22.6,1356,1356
4SD,8,4SD8,Open,After Flood,Warm,Corvid,1,25/09/2019,6:41:46,24/09/2019,11:45:00 AM,18:56:46,18.9,1137,1137
4SD,9,4SD9,Closed,After Flood,Warm,Corvid,2,24/09/2019,14:43:12,24/09/2019,12:05:00 PM,2:38:12,2.6,158,158
4SD,10,4SD10,Closed,After Flood,Warm,Corvid,5,25/09/2019,12:18:44,24/09/2019,12:20:00 PM,23:58:44,24.0,1439,1439
4SD,11,4SD11,Closed,After Flood,Warm,Corvid,2,26/09/2019,11:46:14,24/09/2019,12:35:00 PM,47:11:14,47.2,2831,2831
4SD,12,4SD12,Open,After Flood,Warm,Corvid,1,24/09/2019,13:29:40,24/09/2019,1:15:00 PM,0:14:40,0.2,15,15
2SD,3,2SD3,Open,Before Flood,Warm,LittleCrow,2,12/10/2018,9:09:51,10/10/2018,10:03:00 AM,47:06:51,47.1,2827,2827
2SD,4,2SD4,Closed,Before Flood,Warm,LittleCrow,4,14/10/2018,9:20:01,10/10/2018,10:26:00 AM,94:54:01,94.9,5694,5694
2SD,5,2SD5,Open,Before Flood,Warm,LittleCrow,2,19/10/2018,9:54:29,10/10/2018,10:47:00 AM,215:07:29,215.1,12907,12907
2SD,6,2SD6,Closed,Before Flood,Warm,LittleCrow,5,21/10/2018,16:58:49,10/10/2018,11:14:00 AM,269:44:49,269.7,16185,16185
2SD,8,2SD8,Closed,Before Flood,Warm,LittleCrow,2,23/10/2018,7:58:39,10/10/2018,11:55:00 AM,308:03:39,308.1,18484,18484
2SD,9,2SD9,Open,Before Flood,Warm,LittleCrow,2,12/10/2018,9:21:29,10/10/2018,12:19:00 PM,45:02:29,45.0,2702,2702
2SD,10,2SD10,Closed,Before Flood,Warm,LittleCrow,2,23/10/2018,9:58:45,10/10/2018,12:38:00 PM,309:20:45,309.3,18561,18561
