Carcass Drop,Site,Site_R,Flood,Season,Habitat,Date,Days since laid,group_size,visit_time,visit_time_rounded,visit_time_mins,visit_time_hours
1SD,11,1SD11,Before Flood,Winter,Closed,1/07/2018,10,5,23.23333333,23,23,0.383333333
1SD,11,1SD11,Before Flood,Winter,Closed,1/07/2018,10,6,28.4,28,28,0.466666667
1SD,11,1SD11,Before Flood,Winter,Closed,1/07/2018,10,9,36.06666667,36,36,0.6
1SD,11,1SD11,Before Flood,Winter,Closed,1/07/2018,10,7,62.28333333,62,62,1.033333333
1SD,11,1SD11,Before Flood,Winter,Closed,2/07/2018,11,2,6.883333333,7,7,0.116666667
1SD,11,1SD11,Before Flood,Winter,Closed,2/07/2018,11,1,7.066666667,7,7,0.116666667
1SD,11,1SD11,Before Flood,Winter,Closed,2/07/2018,11,3,10.56666667,11,11,0.183333333
1SD,11,1SD11,Before Flood,Winter,Closed,2/07/2018,11,3,16.7,17,17,0.283333333
1SD,11,1SD11,Before Flood,Winter,Closed,2/07/2018,11,3,22.01666667,22,22,0.366666667
1SD,11,1SD11,Before Flood,Winter,Closed,2/07/2018,11,2,23.66666667,24,24,0.4
1SD,11,1SD11,Before Flood,Winter,Closed,2/07/2018,11,7,34.71666667,35,35,0.583333333
1SD,11,1SD11,Before Flood,Winter,Closed,2/07/2018,11,3,44.4,44,44,0.733333333
1SD,11,1SD11,Before Flood,Winter,Closed,2/07/2018,11,9,77.53333333,78,78,1.3
1SD,11,1SD11,Before Flood,Winter,Closed,3/07/2018,12,3,16,16,16,0.266666667
1SD,11,1SD11,Before Flood,Winter,Closed,3/07/2018,12,5,26.13333333,26,26,0.433333333
1SD,11,1SD11,Before Flood,Winter,Closed,3/07/2018,12,6,26.25,26,26,0.433333333
1SD,11,1SD11,Before Flood,Winter,Closed,3/07/2018,12,5,49.61666667,50,50,0.833333333
1SD,11,1SD11,Before Flood,Winter,Closed,3/07/2018,12,4,54.68333333,55,55,0.916666667
1SD,11,1SD11,Before Flood,Winter,Closed,4/07/2018,13,2,8.3,8,8,0.133333333
1SD,11,1SD11,Before Flood,Winter,Closed,4/07/2018,13,4,8.65,9,9,0.15
1SD,11,1SD11,Before Flood,Winter,Closed,4/07/2018,13,5,24.6,25,25,0.416666667
1SD,11,1SD11,Before Flood,Winter,Closed,5/07/2018,14,1,4.716666667,5,5,0.083333333
1SD,11,1SD11,Before Flood,Winter,Closed,5/07/2018,14,3,17.43333333,17,17,0.283333333
1SD,11,1SD11,Before Flood,Winter,Closed,6/07/2018,15,7,1.983333333,2,2,0.033333333
1SD,11,1SD11,Before Flood,Winter,Closed,6/07/2018,15,5,7.45,7,7,0.116666667
1SD,11,1SD11,Before Flood,Winter,Closed,6/07/2018,15,1,12.46666667,12,12,0.2
1SD,11,1SD11,Before Flood,Winter,Closed,6/07/2018,15,7,18.71666667,19,19,0.316666667
1SD,11,1SD11,Before Flood,Winter,Closed,6/07/2018,15,2,19.81666667,20,20,0.333333333
1SD,11,1SD11,Before Flood,Winter,Closed,6/07/2018,15,7,33.36666667,33,33,0.55
1SD,11,1SD11,Before Flood,Winter,Closed,7/07/2018,16,2,0.966666667,1,1,0.016666667
1SD,11,1SD11,Before Flood,Winter,Closed,7/07/2018,16,2,3.166666667,3,3,0.05
1SD,11,1SD11,Before Flood,Winter,Closed,7/07/2018,16,3,3.55,4,4,0.066666667
1SD,11,1SD11,Before Flood,Winter,Closed,7/07/2018,16,2,5.7,6,6,0.1
1SD,11,1SD11,Before Flood,Winter,Closed,7/07/2018,16,5,6.5,7,7,0.116666667
1SD,11,1SD11,Before Flood,Winter,Closed,7/07/2018,16,2,19.48333333,19,19,0.316666667
1SD,11,1SD11,Before Flood,Winter,Closed,7/07/2018,16,8,46.28333333,46,46,0.766666667
1SD,11,1SD11,Before Flood,Winter,Closed,8/07/2018,17,2,5.533333333,6,6,0.1
1SD,11,1SD11,Before Flood,Winter,Closed,8/07/2018,17,1,7.133333333,7,7,0.116666667
1SD,11,1SD11,Before Flood,Winter,Closed,8/07/2018,17,2,10.6,11,11,0.183333333
1SD,11,1SD11,Before Flood,Winter,Closed,9/07/2018,18,2,0.9,1,1,0.016666667
1SD,11,1SD11,Before Flood,Winter,Closed,9/07/2018,18,2,7.633333333,8,8,0.133333333
1SD,11,1SD11,Before Flood,Winter,Closed,9/07/2018,18,9,16.1,16,16,0.266666667
1SD,11,1SD11,Before Flood,Winter,Closed,9/07/2018,18,12,18.18333333,18,18,0.3
1SD,11,1SD11,Before Flood,Winter,Closed,9/07/2018,18,11,60.11666667,60,60,1
1SD,11,1SD11,Before Flood,Winter,Closed,10/07/2018,19,2,1.266666667,1,1,0.016666667
1SD,11,1SD11,Before Flood,Winter,Closed,10/07/2018,19,3,1.566666667,2,2,0.033333333
1SD,11,1SD11,Before Flood,Winter,Closed,10/07/2018,19,2,6.2,6,6,0.1
1SD,11,1SD11,Before Flood,Winter,Closed,10/07/2018,19,3,6.616666667,7,7,0.116666667
1SD,11,1SD11,Before Flood,Winter,Closed,10/07/2018,19,2,11.73333333,12,12,0.2
1SD,11,1SD11,Before Flood,Winter,Closed,10/07/2018,19,2,23.9,24,24,0.4
1SD,11,1SD11,Before Flood,Winter,Closed,10/07/2018,19,4,26.08333333,26,26,0.433333333
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,2,1.633333333,2,2,0.033333333
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,2,2.966666667,3,3,0.05
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,4,3.25,3,3,0.05
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,2,3.816666667,4,4,0.066666667
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,2,4.033333333,4,4,0.066666667
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,3,5.133333333,5,5,0.083333333
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,2,6.333333333,6,6,0.1
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,4,9.5,10,10,0.166666667
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,5,9.95,10,10,0.166666667
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,2,11.13333333,11,11,0.183333333
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,4,12.93333333,13,13,0.216666667
1SD,11,1SD11,Before Flood,Winter,Closed,11/07/2018,20,2,13.75,14,14,0.233333333
1SD,11,1SD11,Before Flood,Winter,Closed,12/07/2018,21,1,1.2,1,1,0.016666667
1SD,11,1SD11,Before Flood,Winter,Closed,12/07/2018,21,2,1.616666667,2,2,0.033333333
1SD,11,1SD11,Before Flood,Winter,Closed,12/07/2018,21,1,8.116666667,8,8,0.133333333
1SD,11,1SD11,Before Flood,Winter,Closed,13/07/2018,22,2,0.783333333,1,1,0.016666667
1SD,11,1SD11,Before Flood,Winter,Closed,13/07/2018,22,1,7.633333333,8,8,0.133333333
1SD,11,1SD11,Before Flood,Winter,Closed,14/07/2018,23,2,4.033333333,4,4,0.066666667
1SD,11,1SD11,Before Flood,Winter,Closed,14/07/2018,23,2,7.483333333,7,7,0.116666667
1SD,11,1SD11,Before Flood,Winter,Closed,14/07/2018,23,1,16.88333333,17,17,0.283333333
1SD,11,1SD11,Before Flood,Winter,Closed,14/07/2018,23,2,22.6,23,23,0.383333333
1SD,11,1SD11,Before Flood,Winter,Closed,15/07/2018,24,1,15.85,16,16,0.266666667
1SD,11,1SD11,Before Flood,Winter,Closed,16/07/2018,25,1,4.333333333,4,4,0.066666667
1SD,11,1SD11,Before Flood,Winter,Closed,16/07/2018,25,2,18.78333333,19,19,0.316666667
1SD,11,1SD11,Before Flood,Winter,Closed,16/07/2018,25,2,22.9,23,23,0.383333333
1SD,11,1SD11,Before Flood,Winter,Closed,17/07/2018,26,3,2.05,2,2,0.033333333
1SD,11,1SD11,Before Flood,Winter,Closed,17/07/2018,26,2,2.233333333,2,2,0.033333333
1SD,11,1SD11,Before Flood,Winter,Closed,17/07/2018,26,1,3.033333333,3,3,0.05
1SD,11,1SD11,Before Flood,Winter,Closed,17/07/2018,26,2,5.016666667,5,5,0.083333333
1SD,11,1SD11,Before Flood,Winter,Closed,17/07/2018,26,2,7.783333333,8,8,0.133333333
1SD,11,1SD11,Before Flood,Winter,Closed,17/07/2018,26,3,8.583333333,9,9,0.15
1SD,11,1SD11,Before Flood,Winter,Closed,17/07/2018,26,2,9.05,9,9,0.15
1SD,11,1SD11,Before Flood,Winter,Closed,17/07/2018,26,2,15.83333333,16,16,0.266666667
1SD,11,1SD11,Before Flood,Winter,Closed,17/07/2018,26,4,17.08333333,17,17,0.283333333
1SD,11,1SD11,Before Flood,Winter,Closed,18/07/2018,27,2,9.233333333,9,9,0.15
1SD,11,1SD11,Before Flood,Winter,Closed,18/07/2018,27,2,9.55,10,10,0.166666667
1SD,11,1SD11,Before Flood,Winter,Closed,19/07/2018,28,1,0.683333333,1,1,0.016666667
1SD,11,1SD11,Before Flood,Winter,Closed,20/07/2018,29,8,7.266666667,7,7,0.116666667
1SD,12,1SD12,Before Flood,Winter,Open,21/06/2018,1,3,29.03333333,29,29,0.483333333
1SD,12,1SD12,Before Flood,Winter,Open,21/06/2018,1,22,75.36666667,75,75,1.25
1SD,12,1SD12,Before Flood,Winter,Open,21/06/2018,1,22,458.2666667,458,458,7.633333333
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,1,2.216666667,2,2,0.033333333
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,4,4.05,4,4,0.066666667
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,1,5.166666667,5,5,0.083333333
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,3,8.2,8,8,0.133333333
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,3,10.76666667,11,11,0.183333333
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,6,23.45,23,23,0.383333333
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,5,34.26666667,34,34,0.566666667
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,12,37.43333333,37,37,0.616666667
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,6,41.31666667,41,41,0.683333333
1SD,12,1SD12,Before Flood,Winter,Open,22/06/2018,2,13,125.2333333,125,125,2.083333333
1SD,12,1SD12,Before Flood,Winter,Open,23/06/2018,3,3,4.083333333,4,4,0.066666667
1SD,12,1SD12,Before Flood,Winter,Open,23/06/2018,3,6,11.85,12,12,0.2
1SD,12,1SD12,Before Flood,Winter,Open,23/06/2018,3,5,12,12,12,0.2
1SD,12,1SD12,Before Flood,Winter,Open,23/06/2018,3,5,12.75,13,13,0.216666667
1SD,12,1SD12,Before Flood,Winter,Open,23/06/2018,3,2,29.9,30,30,0.5
1SD,12,1SD12,Before Flood,Winter,Open,23/06/2018,3,8,53.5,54,54,0.9
1SD,12,1SD12,Before Flood,Winter,Open,24/06/2018,4,4,0.616666667,1,1,0.016666667
1SD,12,1SD12,Before Flood,Winter,Open,24/06/2018,4,3,6.7,7,7,0.116666667
1SD,12,1SD12,Before Flood,Winter,Open,24/06/2018,4,4,30.91666667,31,31,0.516666667
1SD,12,1SD12,Before Flood,Winter,Open,25/06/2018,5,4,29.6,30,30,0.5
1SD,12,1SD12,Before Flood,Winter,Open,26/06/2018,6,2,7.55,8,8,0.133333333
1SD,12,1SD12,Before Flood,Winter,Open,29/06/2018,9,5,5.933333333,6,6,0.1
1SD,12,1SD12,Before Flood,Winter,Open,1/07/2018,11,6,5.75,6,6,0.1
1SD,12,1SD12,Before Flood,Winter,Open,1/07/2018,11,1,5.9,6,6,0.1
1SD,12,1SD12,Before Flood,Winter,Open,7/07/2018,17,2,9.733333333,10,10,0.166666667
1SD,13,1SD13,Before Flood,Winter,Closed,24/06/2018,4,2,0.533333333,1,1,0.016666667
1SD,13,1SD13,Before Flood,Winter,Closed,24/06/2018,4,1,1,1,1,0.016666667
1SD,13,1SD13,Before Flood,Winter,Closed,24/06/2018,4,1,1.45,1,1,0.016666667
1SD,13,1SD13,Before Flood,Winter,Closed,24/06/2018,4,2,3.133333333,3,3,0.05
1SD,13,1SD13,Before Flood,Winter,Closed,24/06/2018,4,2,5.633333333,6,6,0.1
1SD,13,1SD13,Before Flood,Winter,Closed,24/06/2018,4,3,7.883333333,8,8,0.133333333
1SD,13,1SD13,Before Flood,Winter,Closed,24/06/2018,4,4,12.53333333,13,13,0.216666667
1SD,13,1SD13,Before Flood,Winter,Closed,24/06/2018,4,4,13.31666667,13,13,0.216666667
1SD,13,1SD13,Before Flood,Winter,Closed,24/06/2018,4,4,43.23333333,43,43,0.716666667
1SD,13,1SD13,Before Flood,Winter,Closed,25/06/2018,5,6,2.166666667,2,2,0.033333333
1SD,13,1SD13,Before Flood,Winter,Closed,25/06/2018,5,2,3.7,4,4,0.066666667
1SD,13,1SD13,Before Flood,Winter,Closed,25/06/2018,5,6,4.183333333,4,4,0.066666667
1SD,13,1SD13,Before Flood,Winter,Closed,25/06/2018,5,6,8.033333333,8,8,0.133333333
1SD,13,1SD13,Before Flood,Winter,Closed,25/06/2018,5,8,16.76666667,17,17,0.283333333
1SD,13,1SD13,Before Flood,Winter,Closed,25/06/2018,5,6,27.61666667,28,28,0.466666667
1SD,13,1SD13,Before Flood,Winter,Closed,25/06/2018,5,9,53.68333333,54,54,0.9
1SD,13,1SD13,Before Flood,Winter,Closed,25/06/2018,5,9,59.66666667,60,60,1
1SD,13,1SD13,Before Flood,Winter,Closed,25/06/2018,5,7,75.51666667,76,76,1.266666667
1SD,13,1SD13,Before Flood,Winter,Closed,26/06/2018,6,1,3.516666667,4,4,0.066666667
1SD,13,1SD13,Before Flood,Winter,Closed,26/06/2018,6,3,6.083333333,6,6,0.1
1SD,13,1SD13,Before Flood,Winter,Closed,26/06/2018,6,9,9.166666667,9,9,0.15
1SD,13,1SD13,Before Flood,Winter,Closed,26/06/2018,6,2,17.68333333,18,18,0.3
1SD,13,1SD13,Before Flood,Winter,Closed,26/06/2018,6,9,46.68333333,47,47,0.783333333
1SD,13,1SD13,Before Flood,Winter,Closed,26/06/2018,6,10,140.4333333,140,140,2.333333333
1SD,13,1SD13,Before Flood,Winter,Closed,27/06/2018,7,2,10.56666667,11,11,0.183333333
1SD,13,1SD13,Before Flood,Winter,Closed,27/06/2018,7,3,12.43333333,12,12,0.2
1SD,13,1SD13,Before Flood,Winter,Closed,27/06/2018,7,3,13.88333333,14,14,0.233333333
1SD,13,1SD13,Before Flood,Winter,Closed,27/06/2018,7,2,16.91666667,17,17,0.283333333
1SD,13,1SD13,Before Flood,Winter,Closed,27/06/2018,7,2,19.48333333,19,19,0.316666667
1SD,13,1SD13,Before Flood,Winter,Closed,27/06/2018,7,3,43,43,43,0.716666667
1SD,13,1SD13,Before Flood,Winter,Closed,28/06/2018,8,2,7.25,7,7,0.116666667
1SD,13,1SD13,Before Flood,Winter,Closed,28/06/2018,8,4,31.1,31,31,0.516666667
1SD,13,1SD13,Before Flood,Winter,Closed,28/06/2018,8,3,42.15,42,42,0.7
1SD,13,1SD13,Before Flood,Winter,Closed,29/06/2018,9,2,1.533333333,2,2,0.033333333
1SD,13,1SD13,Before Flood,Winter,Closed,29/06/2018,9,4,2.183333333,2,2,0.033333333
1SD,13,1SD13,Before Flood,Winter,Closed,30/06/2018,10,9,31.11666667,31,31,0.516666667
1SD,13,1SD13,Before Flood,Winter,Closed,4/07/2018,14,2,2.216666667,2,2,0.033333333
1SD,13,1SD13,Before Flood,Winter,Closed,5/07/2018,15,1,2.4,2,2,0.033333333
1SD,13,1SD13,Before Flood,Winter,Closed,6/07/2018,16,10,11.73333333,12,12,0.2
1SD,14,1SD14,Before Flood,Winter,Open,20/06/2018,0,2,24.63333333,25,25,0.416666667
1SD,14,1SD14,Before Flood,Winter,Open,21/06/2018,1,1,5.083333333,5,5,0.083333333
1SD,14,1SD14,Before Flood,Winter,Open,21/06/2018,1,1,8.9,9,9,0.15
1SD,14,1SD14,Before Flood,Winter,Open,21/06/2018,1,1,11.5,12,12,0.2
1SD,14,1SD14,Before Flood,Winter,Open,21/06/2018,1,1,17.4,17,17,0.283333333
1SD,14,1SD14,Before Flood,Winter,Open,21/06/2018,1,1,20.56666667,21,21,0.35
1SD,14,1SD14,Before Flood,Winter,Open,22/06/2018,2,1,2.766666667,3,3,0.05
1SD,14,1SD14,Before Flood,Winter,Open,22/06/2018,2,2,3.2,3,3,0.05
1SD,14,1SD14,Before Flood,Winter,Open,22/06/2018,2,1,8.8,9,9,0.15
1SD,14,1SD14,Before Flood,Winter,Open,22/06/2018,2,3,12.73333333,13,13,0.216666667
1SD,14,1SD14,Before Flood,Winter,Open,22/06/2018,2,1,32.71666667,33,33,0.55
1SD,14,1SD14,Before Flood,Winter,Open,22/06/2018,2,3,76.01666667,76,76,1.266666667
1SD,14,1SD14,Before Flood,Winter,Open,22/06/2018,2,3,80.53333333,81,81,1.35
1SD,14,1SD14,Before Flood,Winter,Open,22/06/2018,2,4,127.1333333,127,127,2.116666667
1SD,14,1SD14,Before Flood,Winter,Open,23/06/2018,3,1,2.016666667,2,2,0.033333333
1SD,14,1SD14,Before Flood,Winter,Open,23/06/2018,3,2,9.916666667,10,10,0.166666667
1SD,14,1SD14,Before Flood,Winter,Open,23/06/2018,3,1,10.93333333,11,11,0.183333333
1SD,14,1SD14,Before Flood,Winter,Open,23/06/2018,3,2,13.2,13,13,0.216666667
1SD,14,1SD14,Before Flood,Winter,Open,23/06/2018,3,2,15.08333333,15,15,0.25
1SD,14,1SD14,Before Flood,Winter,Open,23/06/2018,3,2,36.5,37,37,0.616666667
1SD,14,1SD14,Before Flood,Winter,Open,24/06/2018,4,2,1.216666667,1,1,0.016666667
1SD,14,1SD14,Before Flood,Winter,Open,24/06/2018,4,2,1.6,2,2,0.033333333
1SD,14,1SD14,Before Flood,Winter,Open,24/06/2018,4,2,4.85,5,5,0.083333333
1SD,14,1SD14,Before Flood,Winter,Open,24/06/2018,4,2,13.3,13,13,0.216666667
1SD,14,1SD14,Before Flood,Winter,Open,24/06/2018,4,2,15.51666667,16,16,0.266666667
1SD,14,1SD14,Before Flood,Winter,Open,25/06/2018,5,2,0.616666667,1,1,0.016666667
1SD,14,1SD14,Before Flood,Winter,Open,25/06/2018,5,1,5.833333333,6,6,0.1
1SD,14,1SD14,Before Flood,Winter,Open,25/06/2018,5,1,9.516666667,10,10,0.166666667
1SD,14,1SD14,Before Flood,Winter,Open,25/06/2018,5,4,16.78333333,17,17,0.283333333
1SD,14,1SD14,Before Flood,Winter,Open,25/06/2018,5,2,19.18333333,19,19,0.316666667
1SD,14,1SD14,Before Flood,Winter,Open,25/06/2018,5,2,43.2,43,43,0.716666667
1SD,14,1SD14,Before Flood,Winter,Open,25/06/2018,5,2,50.05,50,50,0.833333333
1SD,14,1SD14,Before Flood,Winter,Open,26/06/2018,6,1,1.716666667,2,2,0.033333333
1SD,14,1SD14,Before Flood,Winter,Open,26/06/2018,6,2,1.85,2,2,0.033333333
1SD,14,1SD14,Before Flood,Winter,Open,26/06/2018,6,2,8.7,9,9,0.15
1SD,14,1SD14,Before Flood,Winter,Open,26/06/2018,6,2,28.66666667,29,29,0.483333333
1SD,14,1SD14,Before Flood,Winter,Open,27/06/2018,7,3,10.83333333,11,11,0.183333333
1SD,14,1SD14,Before Flood,Winter,Open,27/06/2018,7,4,12.96666667,13,13,0.216666667
1SD,14,1SD14,Before Flood,Winter,Open,27/06/2018,7,5,148.3833333,148,148,2.466666667
1SD,14,1SD14,Before Flood,Winter,Open,27/06/2018,7,7,271.55,272,272,4.533333333
1SD,14,1SD14,Before Flood,Winter,Open,28/06/2018,8,3,3.716666667,4,4,0.066666667
1SD,14,1SD14,Before Flood,Winter,Open,28/06/2018,8,3,6.516666667,7,7,0.116666667
1SD,14,1SD14,Before Flood,Winter,Open,28/06/2018,8,4,15.15,15,15,0.25
1SD,14,1SD14,Before Flood,Winter,Open,28/06/2018,8,5,20.16666667,20,20,0.333333333
1SD,14,1SD14,Before Flood,Winter,Open,28/06/2018,8,9,27.16666667,27,27,0.45
1SD,14,1SD14,Before Flood,Winter,Open,28/06/2018,8,8,141.0333333,141,141,2.35
1SD,14,1SD14,Before Flood,Winter,Open,28/06/2018,8,10,243.85,244,244,4.066666667
1SD,14,1SD14,Before Flood,Winter,Open,29/06/2018,9,5,8.133333333,8,8,0.133333333
1SD,14,1SD14,Before Flood,Winter,Open,29/06/2018,9,5,16.68333333,17,17,0.283333333
1SD,14,1SD14,Before Flood,Winter,Open,29/06/2018,9,7,17.86666667,18,18,0.3
1SD,14,1SD14,Before Flood,Winter,Open,29/06/2018,9,3,17.88333333,18,18,0.3
1SD,14,1SD14,Before Flood,Winter,Open,29/06/2018,9,4,20.7,21,21,0.35
1SD,14,1SD14,Before Flood,Winter,Open,29/06/2018,9,12,27.23333333,27,27,0.45
1SD,14,1SD14,Before Flood,Winter,Open,29/06/2018,9,7,46.25,46,46,0.766666667
1SD,14,1SD14,Before Flood,Winter,Open,29/06/2018,9,5,58.5,59,59,0.983333333
1SD,14,1SD14,Before Flood,Winter,Open,29/06/2018,9,6,60.41666667,60,60,1
1SD,14,1SD14,Before Flood,Winter,Open,30/06/2018,10,1,0.566666667,1,1,0.016666667
1SD,14,1SD14,Before Flood,Winter,Open,30/06/2018,10,2,1.966666667,2,2,0.033333333
1SD,14,1SD14,Before Flood,Winter,Open,30/06/2018,10,9,21.38333333,21,21,0.35
1SD,14,1SD14,Before Flood,Winter,Open,30/06/2018,10,3,31.05,31,31,0.516666667
1SD,14,1SD14,Before Flood,Winter,Open,30/06/2018,10,9,47.91666667,48,48,0.8
1SD,14,1SD14,Before Flood,Winter,Open,30/06/2018,10,9,71.85,72,72,1.2
1SD,14,1SD14,Before Flood,Winter,Open,1/07/2018,11,2,6.333333333,6,6,0.1
1SD,14,1SD14,Before Flood,Winter,Open,1/07/2018,11,2,13.88333333,14,14,0.233333333
1SD,14,1SD14,Before Flood,Winter,Open,1/07/2018,11,2,22.43333333,22,22,0.366666667
1SD,14,1SD14,Before Flood,Winter,Open,2/07/2018,12,13,9.816666667,10,10,0.166666667
1SD,14,1SD14,Before Flood,Winter,Open,2/07/2018,12,3,11.53333333,12,12,0.2
1SD,14,1SD14,Before Flood,Winter,Open,2/07/2018,12,2,26.68333333,27,27,0.45
1SD,14,1SD14,Before Flood,Winter,Open,3/07/2018,13,1,2.266666667,2,2,0.033333333
1SD,14,1SD14,Before Flood,Winter,Open,3/07/2018,13,10,6.566666667,7,7,0.116666667
1SD,14,1SD14,Before Flood,Winter,Open,3/07/2018,13,3,42.46666667,42,42,0.7
1SD,14,1SD14,Before Flood,Winter,Open,3/07/2018,13,3,53.46666667,53,53,0.883333333
1SD,14,1SD14,Before Flood,Winter,Open,4/07/2018,14,2,3.4,3,3,0.05
1SD,14,1SD14,Before Flood,Winter,Open,4/07/2018,14,2,7.633333333,8,8,0.133333333
1SD,14,1SD14,Before Flood,Winter,Open,4/07/2018,14,2,7.816666667,8,8,0.133333333
1SD,14,1SD14,Before Flood,Winter,Open,4/07/2018,14,2,18.2,18,18,0.3
1SD,14,1SD14,Before Flood,Winter,Open,4/07/2018,14,2,31.83333333,32,32,0.533333333
1SD,14,1SD14,Before Flood,Winter,Open,4/07/2018,14,2,48.86666667,49,49,0.816666667
1SD,14,1SD14,Before Flood,Winter,Open,5/07/2018,15,2,5.833333333,6,6,0.1
1SD,14,1SD14,Before Flood,Winter,Open,5/07/2018,15,4,8.616666667,9,9,0.15
1SD,14,1SD14,Before Flood,Winter,Open,5/07/2018,15,1,18.86666667,19,19,0.316666667
1SD,14,1SD14,Before Flood,Winter,Open,6/07/2018,16,2,11.33333333,11,11,0.183333333
1SD,14,1SD14,Before Flood,Winter,Open,7/07/2018,17,2,6.833333333,7,7,0.116666667
1SD,14,1SD14,Before Flood,Winter,Open,7/07/2018,17,2,8.616666667,9,9,0.15
1SD,14,1SD14,Before Flood,Winter,Open,7/07/2018,17,2,9.033333333,9,9,0.15
1SD,14,1SD14,Before Flood,Winter,Open,7/07/2018,17,2,13.05,13,13,0.216666667
1SD,14,1SD14,Before Flood,Winter,Open,7/07/2018,17,2,14.88333333,15,15,0.25
1SD,14,1SD14,Before Flood,Winter,Open,8/07/2018,18,1,22.71666667,23,23,0.383333333
1SD,14,1SD14,Before Flood,Winter,Open,9/07/2018,19,2,47.38333333,47,47,0.783333333
1SD,14,1SD14,Before Flood,Winter,Open,10/07/2018,20,2,10.05,10,10,0.166666667
1SD,14,1SD14,Before Flood,Winter,Open,10/07/2018,20,3,12.13333333,12,12,0.2
1SD,14,1SD14,Before Flood,Winter,Open,10/07/2018,20,7,13.85,14,14,0.233333333
1SD,14,1SD14,Before Flood,Winter,Open,10/07/2018,20,5,40.85,41,41,0.683333333
1SD,14,1SD14,Before Flood,Winter,Open,11/07/2018,21,1,4.333333333,4,4,0.066666667
1SD,14,1SD14,Before Flood,Winter,Open,11/07/2018,21,3,12.46666667,12,12,0.2
1SD,14,1SD14,Before Flood,Winter,Open,11/07/2018,21,1,13.93333333,14,14,0.233333333
1SD,14,1SD14,Before Flood,Winter,Open,11/07/2018,21,2,14.05,14,14,0.233333333
1SD,14,1SD14,Before Flood,Winter,Open,12/07/2018,22,2,3.883333333,4,4,0.066666667
1SD,14,1SD14,Before Flood,Winter,Open,12/07/2018,22,2,21.85,22,22,0.366666667
1SD,14,1SD14,Before Flood,Winter,Open,13/07/2018,23,2,10.56666667,11,11,0.183333333
1SD,14,1SD14,Before Flood,Winter,Open,13/07/2018,23,2,14.36666667,14,14,0.233333333
1SD,14,1SD14,Before Flood,Winter,Open,13/07/2018,23,2,35.7,36,36,0.6
1SD,14,1SD14,Before Flood,Winter,Open,14/07/2018,24,2,15.68333333,16,16,0.266666667
1SD,14,1SD14,Before Flood,Winter,Open,14/07/2018,24,2,55.33333333,55,55,0.916666667
1SD,14,1SD14,Before Flood,Winter,Open,15/07/2018,25,2,9.65,10,10,0.166666667
1SD,14,1SD14,Before Flood,Winter,Open,15/07/2018,25,2,34.08333333,34,34,0.566666667
1SD,14,1SD14,Before Flood,Winter,Open,16/07/2018,26,2,3.233333333,3,3,0.05
1SD,14,1SD14,Before Flood,Winter,Open,16/07/2018,26,2,18.36666667,18,18,0.3
1SD,14,1SD14,Before Flood,Winter,Open,18/07/2018,28,2,9.616666667,10,10,0.166666667
1SD,14,1SD14,Before Flood,Winter,Open,18/07/2018,28,2,18.3,18,18,0.3
1SD,14,1SD14,Before Flood,Winter,Open,19/07/2018,29,2,11.26666667,11,11,0.183333333
1SD,14,1SD14,Before Flood,Winter,Open,20/07/2018,30,2,5.883333333,6,6,0.1
1SD,14,1SD14,Before Flood,Winter,Open,20/07/2018,30,6,6.55,7,7,0.116666667
1SD,15,1SD15,Before Flood,Winter,Closed,21/06/2018,1,2,0.683333333,1,1,0.016666667
1SD,15,1SD15,Before Flood,Winter,Closed,21/06/2018,1,2,2.95,3,3,0.05
1SD,15,1SD15,Before Flood,Winter,Closed,21/06/2018,1,2,6.233333333,6,6,0.1
1SD,15,1SD15,Before Flood,Winter,Closed,21/06/2018,1,1,6.283333333,6,6,0.1
1SD,15,1SD15,Before Flood,Winter,Closed,21/06/2018,1,2,8.4,8,8,0.133333333
1SD,15,1SD15,Before Flood,Winter,Closed,21/06/2018,1,1,9.116666667,9,9,0.15
1SD,15,1SD15,Before Flood,Winter,Closed,21/06/2018,1,2,20.2,20,20,0.333333333
1SD,15,1SD15,Before Flood,Winter,Closed,21/06/2018,1,2,55.9,56,56,0.933333333
